id	score
34330160	0.9054084
38454272	0.92672306
5702288	0.9156601
6361638	0.9004491
35918669	0.91369176
30340534	0.9341662
35299527	0.9103474
2274900	0.9162513
36230857	0.9190047
33111917	0.9424661
20375187	0.9041588
17587021	0.91703045
26295945	0.9157307
23928913	0.8969434
9483055	1.0
7231637	0.9066532
35236109	0.8905127
38032731	0.9215598
17013258	0.9067072
29018357	0.9284393
11344361	0.9960354
35212905	0.9312301
29100122	0.9374593
15881781	0.9912696
20537934	0.92090243
7300373	0.9009199
32373263	0.89144486
7693371	0.9392621
17991342	0.9311421
9708535	0.8897346
9759452	0.8997344
21689708	0.9132399
30905766	0.89305806
1513425	0.9346879
15885611	0.92554283
14707580	0.89087254
13982159	0.9112142
3262530	0.8987179
248552	0.96911895
10687505	0.9082711
7369149	0.90317506
9712379	0.90048313
24041077	0.9091295
17995033	0.89169407
27836099	0.8925433
15621727	0.95227647
29999849	0.9134758
25232055	0.9272964
16938668	0.899614
25307668	0.91706
16637623	0.89751863
12042233	0.91283065
18962634	0.94703585
34134088	0.89674044
24570623	0.902747
22927704	0.9309814
17679026	0.91911304
25833203	0.9251565
25064998	0.93082434
30603457	0.918924
72711	0.9212303
16642758	0.9176535
17989085	0.89655566
28232808	0.908742
39275165	0.91733783
19842237	0.9717577
11925032	0.90638375
13677042	0.90870035
10820174	0.8951555
31897655	0.8928373
35783679	0.8905218
31964684	0.9193005
31088565	0.90117985
10806089	0.9582599
2909404	0.89507693
17934658	0.94795716
30617822	0.92000383
33546534	0.90172005
18728562	0.92221344
14688641	0.9008467
5590766	0.96999586
170388	0.92537963
4089535	0.9041442
35403008	0.91583806
8909265	0.90740556
4867187	0.9061731
33097019	0.9568658
27185975	0.9327852
34815344	0.8903301
23876987	0.9766714
5145033	0.9147887
31358050	0.9293445
37873663	0.94813836
13145229	0.8953439
6748743	0.9054084
6909823	0.9242271
1355223	0.8951516
27396579	0.9813376
32405390	0.91048867
2693790	0.93351996
32863495	0.9012705
32406931	0.8996227
37281912	0.9124963
24505131	0.905827
29613347	0.90447915
9375380	0.9098869
4171920	0.9232464
7010701	0.9160519
36423263	0.9052377
27932287	0.89552134
28294040	1.0
694621	0.9224592
2358933	0.8902204
31883626	0.89284265
18372428	0.89162433
446247	0.8925482
36252989	0.9504321
10668042	0.9801836
36914039	0.8901627
21769693	0.9107654
29768417	0.89193
26647523	0.91729224
31067768	0.9272152
26356257	0.89620256
30505982	0.9092993
10694579	0.8970679
34605053	0.89261544
24107451	0.8904857
24695014	0.9243267
27426626	0.90654963
13008945	0.91864157
6842812	0.8932446
20985695	0.9224278
33982880	0.9329886
33102322	0.8903874
12547382	0.9094323
5595088	0.9428272
25922725	0.913806
32626598	0.91732424
10089817	0.9037336
27446658	0.9103966
19043707	0.9144632
3359108	0.98463523
4800902	0.9282364
6425843	0.950153
22371006	0.89954567
31402297	0.9182254
11448795	0.89174855
27537013	0.93542933
13502612	0.93717384
37702752	0.9999999
20574222	0.9714529
18377315	0.8929558
20324412	0.91853344
6483175	0.932498
30309504	0.9048674
27740555	0.958017
6007312	0.91005784
17761572	0.9260184
37954426	0.91478646
5853989	1.0
32586876	0.8934604
19706723	0.8957218
4733992	0.9977416
4911712	0.8961665
7169834	0.89332044
8046239	0.92320377
14120796	0.9072386
1482236	0.91302
18689159	0.9254034
19879436	0.9820775
26747272	0.938274
36309844	0.8954845
2247518	0.8927904
20123583	0.91426545
903452	0.9245136
14258999	0.91753083
17768910	0.8896004
2221737	0.93845165
17916913	0.9336946
24366532	0.9109957
2582701	0.91476095
14502197	0.9148238
150867	0.91112924
20078660	0.9011416
29026599	0.91649777
3779029	0.94719034
32793447	0.89224637
10233950	0.92554283
8411772	0.8980904
38053322	0.8901335
27387169	0.8954782
15730675	0.8968079
28643002	0.90508413
26673653	0.90983886
21329108	0.94283974
11322333	0.93096936
39276142	0.91475385
10957389	0.9398462
38692296	0.8986697
6755052	0.890003
5777630	0.89161754
12894503	0.9057224
16677879	0.934921
12356075	0.90793335
16103407	0.93873346
32837566	0.9181974
21685292	0.8947618
10859804	0.8929896
22743233	0.9177027
35554580	0.9283584
8532980	0.9884354
630683	0.9678659
19148778	0.91869605
38978195	0.920793
35041628	0.9054122
12559823	0.895442
9849738	0.9228136
32986735	0.91925234
3500756	0.968555
27823498	0.89941
39298871	0.91458905
36376505	0.9294649
35268732	0.92402494
14693259	0.89508325
17732681	0.9576862
8441858	0.9191585
27178723	0.9662092
14159873	0.89712054
19754930	0.89252913
36748686	0.9025168
6519695	0.9496634
8212433	0.9009477
29002444	0.9136026
39227223	0.9092068
12867580	0.930858
12172256	0.8934749
32791793	0.8920747
32616695	0.9223255
8576951	0.8999773
23452436	0.9965204
27579874	0.923537
1479131	0.8934253
21971365	0.9102953
4585	0.90217024
35896969	0.913836
18408918	0.9115252
1240079	0.9401009
30033477	0.9192994
21161072	0.9162886
13210632	0.9374636
31481817	0.9227612
37513644	0.89783454
23399378	0.9222032
8696539	0.93911976
23206072	0.9058589
13956342	0.9727875
30246631	0.89902854
14709043	0.90400577
13076615	0.92028177
