id	score
4802488	0.94359267
34330160	0.9167118
9089335	0.93529797
37251900	0.9633713
30340534	0.93103373
18331190	0.91678846
674940	0.9447044
3041856	0.92092454
38534375	0.92040825
22599433	0.9448661
26669929	0.9262432
13954848	0.94210356
22216188	0.91127455
22241171	0.91684127
17587021	0.9248538
857912	0.9151516
5391365	0.9407571
9483055	0.9959744
30808797	0.9587809
16125405	0.96317387
10216628	0.9221113
10593387	0.94833755
36558338	0.96337366
11344361	0.9754083
20489406	0.9224746
22348986	0.9355242
29100122	0.9709604
22539578	0.9649429
14204327	0.9096482
7693371	0.92545784
1513425	0.957353
15926791	0.91277647
3494591	0.9180708
14303240	0.981024
7801191	0.9500951
27952832	0.93207806
9268603	0.9130626
248552	0.9647842
8289295	0.9280059
12596851	0.93207806
942217	0.9260991
16258876	0.9100111
16918957	0.93377674
11715979	0.9109429
17995033	0.9113575
20149380	0.9327295
27342210	0.92830724
27836099	0.914405
22397271	0.9481131
15163114	0.90865165
21652749	0.91215897
18962634	0.92085046
37333909	0.92880315
21204887	0.91491413
9827614	0.9233165
5010373	0.9175295
16508234	0.90967673
17679026	0.93939376
25833203	0.9762451
7436132	0.93121326
30603457	0.92020756
72711	0.92698836
17989085	0.9552003
13758012	0.9131794
4212248	0.9279293
19842237	0.96768856
11925032	0.93661326
10820174	0.93146706
35783679	0.9260429
31964684	0.95938265
25331476	0.91448104
2923253	0.9313624
2909404	0.98712206
561476	0.93484503
37614840	0.92349386
30617822	0.9084891
25926632	0.9544135
35403008	0.9284257
22273718	0.92444164
21813837	0.92659163
4867187	0.9377882
23876987	0.97126156
6748743	0.9167118
38851145	0.92709744
6909823	0.9101983
5260756	0.99661314
4966262	0.9340669
27396579	0.9835684
38973061	0.91764
32406931	0.925781
5839407	0.93792415
24505131	0.912147
29707708	0.9244355
26677519	0.9348028
29533858	0.9174978
28294040	0.98826694
18372428	0.9503526
446247	0.994555
10668042	0.9761538
36914039	0.9143159
13271952	0.90949357
22874743	0.9947857
34447019	0.9202421
17363515	0.9336933
10287546	0.94063056
37719012	0.9539483
21608775	0.91385436
24628664	0.93729335
17178903	0.9101154
32221244	0.91390276
33982880	0.93180686
33102322	0.93146706
7489728	0.93380976
24978562	0.90992785
16811541	0.93894583
32626598	0.91434014
19043707	0.90992576
35127241	0.94940865
36062429	0.9377391
3359108	0.9683445
4800902	0.94797
2294764	0.94475484
36871919	0.90973055
19858250	0.9395226
31402297	0.97142255
27537013	0.9834773
37702752	1.0000001
20847321	0.9468976
14348990	0.9485465
6483175	0.91794705
14305992	0.91795063
27740555	0.9882065
3970696	0.92521495
26319549	0.9217284
8410954	0.9145371
24379661	0.9363008
5853989	0.968933
8941684	0.9297627
14694541	0.9360491
4733992	0.9920632
29716690	0.93234956
12804236	0.91127586
31973246	0.9306276
3038569	0.9546905
293132	0.9328711
14120796	0.9215497
2319320	0.94249785
18689159	0.9231285
19879436	0.94779915
22243813	0.9278717
34955071	0.9083518
28865903	0.93125623
903452	0.9216672
5880473	0.9623425
2582701	0.9423187
35440745	0.91337526
36110619	0.9291446
29026599	0.97518575
1244212	0.92220044
34227243	0.918414
35085977	0.9382905
33776974	0.93166065
7133371	0.92025965
28643002	0.93874514
35034172	0.9888296
35421348	0.9144099
23868092	0.9269861
15339929	0.9260693
2227966	0.9199103
5234090	0.9142014
12894503	0.9292927
14707670	0.9204083
23677131	0.94175714
24073469	0.9116664
8390339	0.91762954
29820084	0.90802824
39414972	0.92803776
12356075	0.94022244
35978615	0.92092454
13471348	0.9176425
32837566	0.9163545
30916662	0.93277997
17705149	0.9201489
8532980	0.9896264
19148778	0.9201466
39021267	0.9198184
5200595	0.91137624
36199029	0.92195094
35903902	0.9273902
24116702	0.9449589
34722953	0.9582794
27823498	0.9743929
32670834	0.93605244
35016828	0.9093316
27332683	0.92970765
17732681	0.99764305
27178723	0.96877426
20258270	0.91458386
12867580	0.9405462
25451190	0.91337174
1270513	0.9410873
24529004	0.9384563
24675273	0.9099566
9288453	0.9259294
1739366	0.90835094
18837708	0.9094025
8576951	0.90863013
23452436	0.9939789
38805230	0.9082233
21971365	0.9084176
3077239	0.91624296
30883199	0.93207806
14881307	0.9260913
11571770	0.90999216
30033477	0.9535171
13210632	0.92855585
31386306	0.9201894
19570257	0.9094519
35996002	0.91552114
17900608	0.9264412
15972810	0.92927366
13956342	0.9816541
24134465	0.914436
9320460	0.9140757
2749255	0.9152757
7312515	0.93759215
13616935	0.92387044
6300609	0.9469636
17436950	0.9137975
19967331	0.9328202
11238956	0.94285625
7156980	0.9184975
7529310	0.93157554
4904247	0.917101
36766501	0.9135872
30929015	0.93223405
26330242	0.93619007
30368242	0.94029534
6633937	0.9218608
37373886	0.93842924
27257962	0.93207806
21488199	0.92092454
25076544	0.9291446
2905742	0.9084267
1177577	0.9264412
62496	0.9555142
24945354	0.9772259
32993898	0.93986833
27262729	0.947405
20296079	0.91333336
28101804	0.95109266
2933689	0.91878164
26630669	0.9328401
12827661	0.91528213
31483435	0.9647978
22504485	0.92705095
24326745	0.9478589
18957605	0.9389051
29738924	0.9597677
37329649	0.99999994
22534956	0.90890306
22536277	0.9598382
25922237	0.9098004
14638584	0.9287037
18112677	0.9907577
15347021	0.9490212
14742621	0.9912957
25656440	0.933263
24881606	0.9265665
36258431	0.9201909
14461439	0.93207806
29766851	0.9276161
17631177	0.90865165
16262796	0.9501054
35239843	0.9491813
16978947	0.9139747
18670243	0.92481524
17377388	0.94612753
431862	0.9250313
13035173	0.9399439
17515135	0.9277663
37601500	0.9103564
13013207	0.9921222
26259597	0.94864583
4166419	0.9122191
21880365	0.92092454
38713579	0.9330685
6475382	0.92662245
25706540	0.9107518
9645414	0.9428519
11193911	0.911257
29630264	0.93882585
32809348	0.9389512
12114397	0.9321803
23245192	0.93098986
4411552	0.961964
11438798	0.9561962
35975299	0.92092454
32741860	0.91438293
18042846	0.91766274
32736856	0.90980107
15315805	0.9232334
2593917	0.9962797
25226297	0.9142176
37937449	0.91158164
108219	0.9181937
13757059	0.9174037
10148190	0.97428435
23549534	0.9604525
21653624	0.91092217
29295376	0.93700826
7477463	0.93006814
11891900	0.94271964
2123038	0.93589723
4573710	0.93732643
7977243	0.9708682
5288465	0.9342341
21600474	0.9146554
32466436	0.950159
37675379	0.91427314
1603824	0.9185
6274565	0.915146
11006021	0.9517764
2414413	0.91288185
19371924	0.9087902
32937	0.9104929
1848242	0.91232157
29921751	0.92613393
1753573	0.9630549
27255673	0.92238754
3515829	0.90983844
36669851	0.96737254
10122934	0.9415755
14991163	0.9136142
27223450	0.9145097
11380434	0.9164263
16429202	0.9541675
25582081	0.93975616
12866780	0.90865165
5578292	0.9197341
11063748	0.9801559
1681087	0.93406606
25186841	0.9255376
24387669	0.94720775
20515247	0.93527913
34363909	0.9183755
32832498	0.9179256
7627237	0.927387
12834403	0.93207806
8613240	0.9157012
15072034	0.99736404
4650852	1.0000001
14931153	0.9155054
21635079	0.94445634
30653615	0.9933319
20312461	0.9447426
10441525	0.98981756
20023751	0.93129873
27619253	0.93083465
2577225	0.91929686
7782578	0.91492254
11574616	0.9159112
1985594	0.9485717
8024377	0.9143399
4196141	0.9136225
32173321	0.9228186
4071631	0.9310813
5426539	0.91175884
16510683	0.92825943
18497211	0.9080643
9439279	0.9140198
23913599	0.9177202
35627308	0.92246014
9784710	0.9267626
35890799	0.95683765
673608	0.9820655
2587133	0.92541987
11772101	0.93733716
30095244	0.9096416
25021446	0.9095902
28463016	0.93513787
21922807	0.9461179
28477670	0.9473376
7727697	0.969992
21689512	0.9118403
19981525	0.9295258
945253	0.9901606
7944114	0.91584563
6331788	0.92607397
29234164	0.98425317
14428492	0.97518575
23621935	0.91912985
20258762	0.96049905
12402555	0.93207806
15464698	0.9416415
38111418	0.99670243
11250177	0.9221974
39339240	0.9454032
17024253	0.916057
21794957	0.9242145
33212830	0.94457686
36769330	0.93287224
33673967	0.94644463
12041222	0.928731
36749255	0.9416704
22289462	0.96265787
26559247	0.91333777
9099867	0.9098004
22222671	0.9907604
24838074	0.9136425
18939752	0.92547023
35844146	0.9116918
17044505	0.9310929
23087077	0.91824555
16978389	0.9368377
6581454	0.931791
33529995	0.9350728
5827404	0.91878295
24663995	0.93390656
29527805	0.9245266
9361702	0.99999994
7105035	0.94648194
19956167	0.94751143
9060394	0.93230593
30018248	0.94649386
26637445	0.910658
5854970	0.9455242
27631130	0.9289096
23892198	0.9300406
24938452	0.91909003
15870732	0.9464052
22546923	0.90990937
29730526	0.93244016
7046241	0.91883093
18999703	0.94859993
16746999	0.9167118
14973230	0.96635294
15105854	0.9422352
9932477	0.9668741
9789240	0.9099275
39311747	0.9142322
29883749	0.9968896
827208	0.9158622
37732270	0.91263163
21180718	0.93298227
38627937	0.91575503
11842125	0.9133563
37844887	0.9383681
10884472	0.9260913
17352510	0.94705814
12014935	0.94312024
19582839	0.9189786
4249549	0.94608706
25356769	0.91250587
25999223	0.91218555
21354606	0.92949843
17109145	0.9677988
13209311	0.9182633
9457257	0.96744514
1570965	0.932726
13360827	0.92817736
12171100	0.94079757
25050396	0.9096771
6402786	0.93768734
20434297	0.9095838
38703370	0.95882756
25539622	0.94938475
14919208	0.9371095
943770	0.95292664
